No.,Business Unit,Card Code,Card Name,Email,Password,Universal Card Code,Credit Limit,Group,Territory,Class,Created Date
1,APBW,C14000,YSS MOTOR PARTS,05119@mailinator.com,05119,05119,2000000,CEBU,CEBU CITY,ENTRY LEVEL,"Dec 14, 2022"
2,APBW,C05379A,MGA.414 CORPORATION,05105@mailinator.com,05105,05105,-,CEBU,MAKATI,ENTRY LEVEL,"Dec 07, 2022"
3,APBW,C13992,ROBERT JAUCIAN,05099@mailinator.com,05099,05099,0,MANILA,LAGUNA,ENTRY LEVEL,"Dec 05, 2022"
4,APBW,C13989,JJ AND J INDUSTRIES INC.,05094@mailinator.com,05094,05094,0,MANILA,MANDALUYONG,ENTRY LEVEL,"Nov 28, 2022"
5,APBW,C03171B,RSO CONSTRUCTION,05089@mailinator.com,05089,05089,0,CEBU,ORMOC CITY,ENTRY LEVEL,"Nov 25, 2022"
6,APBW,C13987,JANET CHUA BALBUENA,05085@mailinator.com,05085,05085,0,CEBU,CEBU CITY,NOT AVAILABLE,"Nov 22, 2022"
7,APBW,C13986,NIÑA MAE R. SALVACION,05083@mailinator.com,05083,05083,0,CEBU,CEBU CITY,NOT AVAILABLE,"Nov 21, 2022"
8,APBW,C13984,TIP TOP DISTRIBUTION INC,05081@mailinator.com,05081,05081,0,MANILA,MAKATI,NOT AVAILABLE,"Nov 19, 2022"
9,APBW,C13983,FIRST LIQUID ENERGY INDUSTRIES CORPORATION,05080@mailinator.com,05080,05080,0,MANILA,MAKATI,NOT AVAILABLE,"Nov 19, 2022"
10,APBW,C13985,LUCRUM ENTERPRISES CORPORATION,05082@mailinator.com,05082,05082,0,MANILA,QUEZON CITY,ENTRY LEVEL,"Nov 18, 2022"
11,APBW,C11413B,MARIO ABRANTES FLORES,05079@mailinator.com,05079,05079,-,CEBU,CEBU SOUTH,ENTRY LEVEL,"Nov 18, 2022"
12,APBW,C12937A,F.B LADAO SALES INCORPORATED,05113@mailinator.com,05113,05113,1000000,MANILA,QUEZON CITY,ENTRY LEVEL,"Nov 17, 2022"
13,APBW,C13980,FE R. SANGCO,05075@mailinator.com,05075,05075,0,BACOLOD,BACOLOD CITY,NOT AVAILABLE,"Nov 17, 2022"
14,APBW,C13557A,RIDER'S PIT STOP PHILIPPINES INC.,05074@mailinator.com,05074,05074,-,BOHOL,BOHOL PROVINCE,CLASS12,"Nov 17, 2022"
15,APBW,C13979,GAS EMPORIUM STATION,05073@mailinator.com,05073,05073,0,MANILA,TABUK,ENTRY LEVEL,"Nov 15, 2022"
16,APBW,C13978,RIZA LARIOSA,05072@mailinator.com,05072,05072,0,BACOLOD,BACOLOD CITY,NOT AVAILABLE,"Nov 14, 2022"
17,APBW,C13976,COVERBEST DISTRIBUTIONS CORPORATION,edvywin@yahoo.com,04999,04999,0,DUMAGUETE,DUMAGUETE CITY,ENTRY LEVEL,"Nov 10, 2022"
