No.,Business Unit,Card Code,Card Name,Email,Password,Universal Card Code,Credit Limit,Group,Territory,Class,Created Date
1,NTMC,C14156,DANIEL LIPAYON,05125@mailinator.com,05125,05125,0,MANILA,QUEZON CITY,NOT AVAILABLE,"Jan 10, 2023"
2,NTMC,C14155,"726 TIRE, BATTERIES & MOTOR OIL SUPPLY TRADING",04834@mailinator.com,04834,04834,50000,BACOLOD,BACOLOD CITY,REGULAR,"Jan 09, 2023"
3,NTMC,C14153,ALEXANDER B. FERMIN,05123@mailinator.com,05123,05123,0,MANILA,PARANAQUE,NOT AVAILABLE,"Jan 05, 2023"
4,NTMC,C13773B,DAVAO SOUTH FEEDMILL CORPORATION,05120@mailinator.com,05120,05120,-,DAVAO,DAVAO CITY,BASE,"Dec 22, 2022"
5,NTMC,C14150,SMARTYRE MARKETING INC.,03939@mailinator.com,03939,03939,0,MANILA,PASIG,REGULAR,"Dec 21, 2022"
6,NTMC,C14146,ZAMBOANGA MOTOR SUPPLY,04533@mailinator.com,04533,04533,0,CAGAYAN,ZAMBOANGA DEL SUR,REGULAR,"Dec 15, 2022"
7,NTMC,C14144,SUBIC-ASIA PACIFIC MARINE RESOURCES INC.,05103@mailinator.com,05103,05103,0,MANILA,RODRIGUEZ,REGULAR,"Dec 15, 2022"
8,NTMC,C11900D,COLD LINK ASIA LOGISTICS CORP.,05109@mailinator.com,05109,05109,-,BOHOL,BOHOL PROVINCE,REGULAR,"Dec 09, 2022"
9,NTMC,C11900C,COLD LINK ASIA LOGISTICS CORP.,05108@mailinator.com,05108,05108,-,ILOILO,ILOILO CITY,REGULAR,"Dec 09, 2022"
10,NTMC,C11900B,COLD LINK ASIA LOGISTICS CORP.,05107@mailinator.com,05107,05107,-,DUMAGUETE,DUMAGUETE CITY,REGULAR,"Dec 09, 2022"
11,NTMC,C11900A,COLD LINK ASIA LOGISTICS CORP.,05106@mailinator.com,05106,05106,-,TACLOBAN,TACLOBAN CITY,REGULAR,"Dec 09, 2022"
12,NTMC,C14080A,SOLID TREND TRADE SALES INC.,05104@mailinator.com,05104,05104,0,CAGAYAN,DAVAO CITY,REGULAR,"Dec 07, 2022"
