No.,Business Unit,Card Code,Card Name,Email,Password,Universal Card Code,Credit Limit,Group,Territory,Class,Created Date
1301,NTMC,C13033,DIAMANT MANUFACTURING AND TRDING CORP.,01074@mailinator.com,1074,1074,1000000,MANILA,PARANAQUE,REGULAR,2-Jan-20
1302,NTMC,C13034,JEGS MOTORCYCLE PARTS AND SERVICES,02050@mailinator.com,2050,2050,0,BACOLOD,BACOLOD CITY,-,2-Jan-20
1303,NTMC,C13035,JOSE KENNY DY,02213@mailinator.com,2213,2213,0,CEBU,CEBU CITY,-,2-Jan-20
1304,NTMC,C13036,CIRTEK ELECTRONICS CORPORATION,00837@mailinator.com,837,837,0,MANILA,BI?N,REGULAR,2-Jan-20
1305,NTMC,C13037,"UNITED PULP AND PAPER CO., INC.",04323@mailinator.com,4323,4323,500000,MANILA,TAGUIG,-,2-Jan-20
1306,NTMC,C13038,"WEENER-PLASTOP ASIA, INC.",04429@mailinator.com,4429,4429,500000,MANILA,MANILA,REGULAR,2-Jan-20
1307,NTMC,C13038A,"PLASTOP ASIA, INC.",03292@mailinator.com,3292,3292,0,MANILA,MEYCAUAYAN,REGULAR,2-Jan-20
1308,NTMC,C13039,FH COMMERCIAL INC.,01414@mailinator.com,1414,1414,0,MANILA,MALABON,REGULAR,2-Jan-20
1309,NTMC,C13040,MONARK EQUIPMENT CORPORATION,02839@mailinator.com,2839,2839,0,MANILA,QUEZON CITY,REGULAR,2-Jan-20
1310,NTMC,C13041,GEE RHAIM TOURS,01542@mailinator.com,1542,1542,350000,TACLOBAN,PALOMPON,-,2-Jan-20
1311,NTMC,C13042,SPEEDITE INDUSTRIAL SOLUTIONS,03991@mailinator.com,3991,3991,0,MANILA,BI?N,REGULAR,2-Jan-20
1312,NTMC,C13026,ARKAN ENTERPRISES,00354@mailinator.com,354,354,2000000,MANILA,ANTIPOLO,REGULAR,2-Jan-20
1313,NTMC,C13027,HOUSE TECHNOLOGY INDUSTRIES PTE LTD.,01792@mailinator.com,1792,1792,700000,MANILA,ROSARIO,REGULAR,2-Jan-20
1314,NTMC,C13027A,WU KONG SINGAPORE PTE LTD.,04484@mailinator.com,4484,4484,0,MANILA,ROSARIO,REGULAR,2-Jan-20
1315,NTMC,C13028,EMJB AUTO SUPPLY AND MOTOR PARTS,01277@mailinator.com,1277,1277,0,BOHOL,TAGBILARAN CITY,REGULAR,2-Jan-20
1316,NTMC,C13029,SM PRIME HOLDINGS INC.,03935@mailinator.com,3935,3935,1000000,MANILA,PASAY,REGULAR,2-Jan-20
1317,NTMC,C13030,MANILA BULLETIN PUBLISHING CORPORATION,02624@mailinator.com,2624,2624,1000000,MANILA,MANILA,REGULAR,2-Jan-20
1318,NTMC,C13031,TELERED TECHNOLOGIES & SERVICES CORPORATION,04141@mailinator.com,4141,4141,0,MANILA,PASIG,-,2-Jan-20
1319,NTMC,C13017,ZEST-O CORPORATION,04544@mailinator.com,4544,4544,0,MANILA,CALOOCAN,REGULAR,2-Jan-20
1320,NTMC,C13018,IONION SHIPHOLDING COMPANY LIMITED,01872@mailinator.com,1872,1872,0,MANILA,BATAAN,-,2-Jan-20
1321,NTMC,C13019,M.V. SHER KHAN - THOMAS CHARTERS LTD.,02563@mailinator.com,2563,2563,0,CEBU,CEBU NORTH,-,2-Jan-20
1322,NTMC,C13019A,M.V. SHER KHAN - THOMAS CHARTERS LTD.,02564@mailinator.com,2564,2564,0,MANILA,ZAMBALES,-,2-Jan-20
1323,NTMC,C13020,PHELPS DODGE PHILIPPINES ENERGY PRODUCTS CORPORATION,03233@mailinator.com,3233,3233,300000,MANILA,TARLAC,REGULAR,2-Jan-20
1324,NTMC,C13021,VM ENTERPRISES,04401@mailinator.com,4401,4401,0,TACLOBAN,TACLOBAN CITY,-,2-Jan-20
1325,NTMC,C13022,ECOSYSTEMS ENTERPRISES INCORPORATED,01198@mailinator.com,1198,1198,0,MANILA,BI?N,REGULAR,2-Jan-20
1326,NTMC,C13023,"SUNSTAR PRINTERS, INC.",04062@mailinator.com,4062,4062,100000,CEBU,CEBU CITY,REGULAR,2-Jan-20
1327,NTMC,C13024,"CEBU MANILA WATER DEVELOPMENT, INC.",00749@mailinator.com,749,749,0,CEBU,CEBU CITY,-,2-Jan-20
1328,NTMC,C13025,CDC MANUFACTURING CORPORATION,00726@mailinator.com,726,726,0,MANILA,MALABON,-,2-Jan-20
1329,NTMC,C13007,PIONEER FLOAT GLASS MANUFACTURING INC.,03272@mailinator.com,3272,3272,200000,MANILA,PASIG,-,2-Jan-20
1330,NTMC,C13008,H & E MANUFACTURING CORPORATION,01705@mailinator.com,1705,1705,0,MANILA,CABUYAO,REGULAR,2-Jan-20
1331,NTMC,C13009,"ORICA PHILIPPINES, INC.",03127@mailinator.com,3127,3127,0,MANILA,BALANGA,REGULAR,2-Jan-20
1332,NTMC,C13010,RHAJTEK-LINO INTERNATIONAL CORP.,03540@mailinator.com,3540,3540,0,MANILA,QUEZON CITY,REGULAR,2-Jan-20
1333,NTMC,C13011,MILLENIUM TOOLINGS AND FABRICATION SERVICES,02800@mailinator.com,2800,2800,0,MANILA,CALAMBA,REGULAR,2-Jan-20
1334,NTMC,C13012,ADVANCE SECURITY AND DETECTION SYSTEM INC.,00150@mailinator.com,150,150,0,MANILA,SAN JUAN,-,2-Jan-20
1335,NTMC,C13013,"PMFTC, INC.",03296@mailinator.com,3296,3296,0,MANILA,PAGSANJAN,REGULAR,2-Jan-20
1336,NTMC,C13014,INFINITY PLASTIC PACKAGING CONCEPTS INC.,01850@mailinator.com,1850,1850,0,MANILA,MALABON,-,2-Jan-20
1337,NTMC,C13015,INVICTUS FOOD PRODUCT CORP.,01871@mailinator.com,1871,1871,0,MANILA,SAN FERNANDO,REGULAR,2-Jan-20
1338,NTMC,C13016,ARKEYTRICKS ARCHITECTURAL DESIGN,00356@mailinator.com,356,356,0,MANILA,RIZAL,-,2-Jan-20
1339,NTMC,C12996A,"SN ABOITIZ POWER-MAGAT, INC.",03945@mailinator.com,3945,3945,0,MANILA,RAMON,REGULAR,2-Jan-20
1340,NTMC,C12997,"GEMPHIL ELECTRONICS ASSEMBLIES, INC.",01552@mailinator.com,1552,1552,500000,MANILA,CABUYAO,REGULAR,2-Jan-20
1341,NTMC,C12998,LSS HEAVY EQUIPMENT PARTS AND SERVICES,02531@mailinator.com,2531,2531,0,MANILA,CALOOCAN,-,2-Jan-20
1342,NTMC,C12999,CONTINENTAL LEAF TOBACCO (PHIL.) INC,00906@mailinator.com,906,906,300000,MANILA,ORIENTAL MINDORO,REGULAR,2-Jan-20
1343,NTMC,C13000,JES TRADING AND SERVICES,02067@mailinator.com,2067,2067,0,CEBU,LAPULAPU CITY,-,2-Jan-20
1344,NTMC,C13001,PLASTIC WOOD VINYL CORPORATION,03287@mailinator.com,3287,3287,0,MANILA,QUEZON CITY,-,2-Jan-20
