No.,Business Unit,Card Code,Card Name,Email,Password,Universal Card Code,Credit Limit,Group,Territory,Class,Created Date
1,PHILSYN,PS2533,"ENTIRE CAR CARE CENTER, INC.",01296@mailinator.com,01296,01296,0,MANILA,QUEZON CITY,REGULAR,"Sep 09, 2022"
2,PHILSYN,PS2532,5G AUTO PARTS TRADING,04960@mailinator.com,04960,04960,0,MANILA,PARANAQUE,REGULAR,"Aug 19, 2022"
3,PHILSYN,PS2531,JEFFREY L. ANG,04959@mailinator.com,04959,04959,0,MANILA,PARANAQUE,REGULAR,"Aug 18, 2022"
4,PHILSYN,CRO1018,JERC MOTOR SPARE PARTS CENTER,04954@mailinator.com,04954,04954,0,MANILA,LAGUNA,REGULAR,"Aug 11, 2022"
5,PHILSYN,PS2530,BONGBONG VILLAN CORPORATION,04566@mailinator.com,04566,04566,0,BACOLOD,BACOLOD CITY,REGULAR,"Aug 09, 2022"
6,PHILSYN,FAB-000683,F. JOVER CYCLE PARTS CENTER,01359@mailinator.com,01359,01359,0,BACOLOD,SAGAY CITY,REGULAR,"Aug 05, 2022"
7,PHILSYN,PS2526,UGLOI'S MOTORCYCLE PARTS AND ACCESSORIES STORE,04935@mailinator.com,04935,04935,60000,BACOLOD,KABANKALAN CITY,REGULAR,"Jul 29, 2022"
8,PHILSYN,PS2525,SNOW MOTORCYCLE PARTS AND ACCESSORIES SHOP,04934@mailinator.com,04934,04934,40000,BACOLOD,SAN CARLOS,REGULAR,"Jul 29, 2022"
9,PHILSYN,PS2524,RAPRAZA OCA SHOP,04932@mailinator.com,04932,04932,0,MANILA,LAGUNA,REGULAR,"Jul 27, 2022"
10,PHILSYN,PS2527,E.C. MOTORCYCLE PARTS AND ACCESSORIES,04938@mailinator.com,04938,04938,100000,BACOLOD,SAN CARLOS,REGULAR,"Jul 25, 2022"
11,PHILSYN,PS2521,HNP AUTOMOTIVE CARE CENTER,04924@mailinator.com,04924,04924,0,MANILA,CAVITE,REGULAR,"Jul 22, 2022"
12,PHILSYN,PS2520,ERWIN AND JC MOTOCYCLE SHOP,04923@mailinator.com,04923,04923,0,MANILA,TAGUIG,REGULAR,"Jul 22, 2022"
