No.,Business Unit,Card Code,Card Name,Email,Password,Universal Card Code,Credit Limit,Group,Territory,Class,Created Date
1,SOLID TREND,C14003,NORTH TREND MARKETING - DAVAO,03063@mailinator.com,03063,03063,0,DAVAO,DAVAO CITY,NOT AVAILABLE,"Dec 29, 2022"
2,SOLID TREND,C14002,DAVE UCHIMURA,05122@mailinator.com,05122,05122,0,DAVAO,DAVAO CITY,NOT AVAILABLE,"Dec 28, 2022"
3,SOLID TREND,C13990,HIGHWAY STAR AUTO PARTS AND ACCESSORIES SHOP,05097@mailinator.com,05097,05097,0,CAGAYAN,SURIGAO CITY,ENTRY LEVEL,"Nov 28, 2022"
4,SOLID TREND,C13997,BRIDGESTAR AUTO CARE SERVICES,05111@mailinator.com,05111,05111,1000000,CAGAYAN,BISLIG,ENTRY LEVEL,"Oct 25, 2022"
5,SOLID TREND,C13973,AM CAR AIRCON SERVICES,05061@mailinator.com,05061,05061,0,CAGAYAN,ZAMBOANGA CITY,ENTRY LEVEL,"Oct 10, 2022"
6,SOLID TREND,C13994,O2 ZONE ACCESSORIES,05101@mailinator.com,05101,05101,400000,CAGAYAN,OZAMIZ CITY,ENTRY LEVEL,"Oct 10, 2022"
7,SOLID TREND,C13967,PA FUEL 118 CORPORATION,05017@mailinator.com,05017,05017,500000,DAVAO,KORONADAL,ENTRY LEVEL,"Oct 06, 2022"
8,SOLID TREND,C13975,RUBIX TYRE & BATTERY CENTER,05066@mailinator.com,05066,05066,500000,DAVAO,GENERAL SANTOS CITY,ENTRY LEVEL,"Sep 14, 2022"
9,SOLID TREND,C10827C,GLOBAL PACIFIC DISTRIBUTION NETWORK CORPORATION,04998@mailinator.com,04998,04998,0,CAGAYAN,CAGAYAN DE ORO,ENTRY LEVEL,"Sep 14, 2022"
10,SOLID TREND,C13947A,AGRANDIR INC.,04979@mailinator.com,04979,04979,0,CAGAYAN,CAGAYAN DE ORO,ENTRY LEVEL,"Aug 31, 2022"
11,SOLID TREND,C05868B,EXPRESS CYCLE TRADING,04976@mailinator.com,04976,04976,0,CAGAYAN,ZAMBOANGA DEL SUR,ENTRY LEVEL,"Aug 30, 2022"
12,SOLID TREND,C13958,J.D. ENTERPRISES,05006@mailinator.com,05006,05006,8000000,CAGAYAN,MISAMIS OCCIDENTAL,AD CST-MCT,"Aug 22, 2022"
13,SOLID TREND,C13947,JOYFUL NETWORK CORPORATION,04971@mailinator.com,04971,04971,0,CAGAYAN,CAGAYAN DE ORO,AD CST-MCT,"Aug 17, 2022"
14,SOLID TREND,C05717,AJ CARHUB,04961@mailinator.com,04961,04961,500000,CAGAYAN,CAGAYAN DE ORO,ENTRY LEVEL,"Aug 10, 2022"
15,SOLID TREND,C11208A,TRIPARCO DEVELOPMENT CORPORATION,04941@mailinator.com,04941,04941,0,CAGAYAN,BUTUAN,ENTRY LEVEL,"Aug 03, 2022"
16,SOLID TREND,C13859A,STAR LIGHT MOTORCYCLE PARTS AND ACCESSORIES SHOP,04940@mailinator.com,04940,04940,500000,DAVAO,NORTH COTABATO,ENTRY LEVEL,"Aug 02, 2022"
17,SOLID TREND,C13933,EL TRUCKING,01245@mailinator.com,01245,01245,0,CAGAYAN,BUTUAN,ENTRY LEVEL,"Aug 01, 2022"
18,SOLID TREND,C13942,BULLDOG TYRE CENTER,04967@mailinator.com,04967,04967,200000,DAVAO,GENERAL SANTOS CITY,ENTRY LEVEL,"Jul 29, 2022"
19,SOLID TREND,C12374C,ST. FRANCIS SHELL STATION V,04931@mailinator.com,04931,04931,-,DAVAO,DAVAO CITY,BASE,"Jul 25, 2022"
20,SOLID TREND,C09507A,TAIYANG TRADING,04926@mailinator.com,04926,04926,-,DAVAO,MANILA,ENTRY LEVEL,"Jul 22, 2022"
21,SOLID TREND,C13995,PIODOS TRUCKING,05102@mailinator.com,05102,05102,1000000,CAGAYAN,BUKIDNON,ENTRY LEVEL,"Jul 22, 2022"
22,SOLID TREND,C05924B,REDLINE AUTO PARTS,04905@mailinator.com,04905,04905,0,CAGAYAN,BUTUAN,ENTRY LEVEL,"Jul 11, 2022"
23,SOLID TREND,C13193A,"JKH ROYAL ARK INDUSTRIES, INC.",02122@mailinator.com,02122,02122,1000000,DAVAO,DAVAO CITY,BASE,"Jul 01, 2022"
24,SOLID TREND,C13953,CDO MOTOR TRADER AUTO SUPPLY,04987@mailinator.com,04987,04987,800000,CAGAYAN,CAGAYAN DE ORO,ENTRY LEVEL,"Jun 30, 2022"
25,SOLID TREND,C05924A,LUCID AUTO PARTS,04889@mailinator.com,04889,04889,-,CAGAYAN,CAGAYAN DE ORO,ENTRY LEVEL,"Jun 29, 2022"
26,SOLID TREND,C11140B,AG MARKETING,04883@mailinator.com,04883,04883,-,CAGAYAN,LANAO DEL NORTE,CLASS11,"Jun 28, 2022"
27,SOLID TREND,C13918,REY VEHICLE TIRES AND BATTERIES TRADING,04860@mailinator.com,04860,04860,0,CAGAYAN,MISAMIS ORIENTAL,ENTRY LEVEL,"Jun 13, 2022"
28,SOLID TREND,C13917,"INTERNATIONAL PHARMACEUTICALS, INC.",01866@mailinator.com,01866,01866,0,CAGAYAN,BUTUAN,ENTRY LEVEL,"Jun 13, 2022"
29,SOLID TREND,C13913,RHOEL BARBERO,04848@mailinator.com,04848,04848,0,CAGAYAN,CAGAYAN DE ORO,NOT AVAILABLE,"Jun 07, 2022"
30,SOLID TREND,C13912,EDDIE BOY SUAN,04847@mailinator.com,04847,04847,0,CAGAYAN,CAGAYAN DE ORO,NOT AVAILABLE,"Jun 07, 2022"
31,SOLID TREND,C13731A,MEDJOY DISTRIBUTION,04839@mailinator.com,04839,04839,0,CAGAYAN,MISAMIS ORIENTAL,ENTRY LEVEL,"Jun 02, 2022"
32,SOLID TREND,C13904,FOUR WHEELS SURPLUS CENTER AND AUTO SUPPLY,04827@mailinator.com,04827,04827,0,CAGAYAN,ZAMBOANGA CITY,ENTRY LEVEL,"May 28, 2022"
33,SOLID TREND,C13928,NMBV GRAN CORPORATION,04888@mailinator.com,04888,04888,10000000,CAGAYAN,CAGAYAN DE ORO,ENTRY LEVEL,"May 28, 2022"
34,SOLID TREND,C12950A,SUPERDRAG MOTORPARTS TRADING,04824@mailinator.com,04824,04824,0,DAVAO,DAVAO CITY,ENTRY LEVEL,"May 26, 2022"
35,SOLID TREND,C13702A,ZSK COMMERCIAL CORPORATION,04901@mailinator.com,04901,04901,800000,DAVAO,DAVAO CITY,ENTRY LEVEL,"May 07, 2022"
36,SOLID TREND,C13936,NASIPIT MOTOR PARTS,04955@mailinator.com,04955,04955,0,CAGAYAN,AGUSAN DEL NORTE,ENTRY LEVEL,"May 02, 2022"
37,SOLID TREND,C13899,TOP-MACHINE ENTERPRISES,04802@mailinator.com,04802,04802,200000,DAVAO,DAVAO CITY,ENTRY LEVEL,"May 02, 2022"
38,SOLID TREND,C13880,AA. OMPOY TIRES & AUTO SUPPLIES,04729@mailinator.com,04729,04729,600000,CAGAYAN,ZAMBOANGA DEL NORTE,ENTRY LEVEL,"Mar 23, 2022"
39,SOLID TREND,C13932,KING GENERAL MERCHANDISING,04927@mailinator.com,04927,04927,300000,CAGAYAN,CAGAYAN DE ORO,ENTRY LEVEL,"Mar 08, 2022"
40,SOLID TREND,C11457A,ABSC GROCERY PRODUCTS DISTRIBUTION,04720@mailinator.com,04720,04720,0,DAVAO,NORTH COTABATO,ENTRY LEVEL,"Mar 05, 2022"
41,SOLID TREND,C03126A,SOLARIE SALES AND SUPPLY,04692@mailinator.com,04692,04692,-,CAGAYAN,AGUSAN DEL NORTE,ENTRY LEVEL,"Feb 28, 2022"
42,SOLID TREND,C00702E,"LBC EXPRESS, INC.",04668@mailinator.com,04668,04668,0,DAVAO,QUEZON CITY,ENTRY LEVEL,"Feb 24, 2022"
43,SOLID TREND,C00702C,"LBC EXPRESS, INC.",04681@mailinator.com,04681,04681,0,CAGAYAN,QUEZON CITY,ENTRY LEVEL,"Feb 23, 2022"
44,SOLID TREND,C13886,E. LODAN'S HARDWARE,04770@mailinator.com,04770,04770,400000,CAGAYAN,ZAMBOANGA SIBUGAY,ENTRY LEVEL,"Feb 21, 2022"
45,SOLID TREND,C13867,SILVER JOHN W. CASTRO,04656@mailinator.com,04656,04656,0,DAVAO,DAVAO CITY,-,"Feb 12, 2022"
46,SOLID TREND,C13863,BLYSSE TIRES & MAGS TRADING,04644@mailinator.com,04644,04644,0,DAVAO,DAVAO CITY,ENTRY LEVEL,"Feb 07, 2022"
47,SOLID TREND,C13862,JTA TIRE TRADING,04643@mailinator.com,04643,04643,500000,DAVAO,SULTAN KUDARAT,ENTRY LEVEL,"Feb 07, 2022"
48,SOLID TREND,C13861,IRIS C. ZAMORA,04642@mailinator.com,04642,04642,0,DAVAO,GENERAL SANTOS CITY,-,"Feb 07, 2022"
49,SOLID TREND,C13859,PAS MARKETING,04633@mailinator.com,04633,04633,0,DAVAO,COTABATO CITY,ENTRY LEVEL,"Jan 29, 2022"
50,SOLID TREND,C13858,JEHOVEN SY BONGAY,04632@mailinator.com,04632,04632,0,DAVAO,DAVAO CITY,-,"Jan 28, 2022"
51,SOLID TREND,C13857,JOHN PAUL DANGO,04631@mailinator.com,04631,04631,0,DAVAO,DAVAO CITY,-,"Jan 28, 2022"
52,SOLID TREND,C13851,RENAN DE CASTRO,04614@mailinator.com,04614,04614,0,DAVAO,DAVAO CITY,-,"Jan 20, 2022"
53,SOLID TREND,C03421,AUTOJACK'S ENTERPRISES,04563@mailinator.com,04563,04563,500000,CAGAYAN,CAGAYAN DE ORO,ENTRY LEVEL,"Jan 08, 2022"
54,SOLID TREND,C13847,VERNEL LANZADERAS CANOY,04611@mailinator.com,04611,04611,0,DAVAO,DAVAO CITY,-,"Jan 07, 2022"
55,SOLID TREND,C13846,RODERICK ALCAZAREN,04606@mailinator.com,04606,04606,0,DAVAO,DAVAO CITY,-,"Jan 06, 2022"
56,SOLID TREND,C11545B,B.M. MARKETING - CDO,00454@mailinator.com,00454,00454,0,CAGAYAN,MANDAUE CITY,-,"Jan 03, 2022"
57,SOLID TREND,C13841,MOHAMMAD ARAFAT D. WALID,04589@mailinator.com,04589,04589,0,DAVAO,DAVAO CITY,-,"Dec 29, 2021"
58,SOLID TREND,C13766A,MIGUEL ANDREI BUENO,04588@mailinator.com,04588,04588,0,DAVAO,DAVAO CITY,-,"Dec 20, 2021"
59,SOLID TREND,C13836,JEAN R. SEBUMPAN,04578@mailinator.com,04578,04578,0,DAVAO,DAVAO CITY,-,"Dec 16, 2021"
60,SOLID TREND,C13842,BL SURPLUS,04565@mailinator.com,04565,04565,800000,CAGAYAN,CAGAYAN DE ORO,ENTRY LEVEL,"Dec 14, 2021"
61,SOLID TREND,C13875,CARKIEZ AUTO SUPPLY,04710@mailinator.com,04710,04710,250000,CAGAYAN,CAGAYAN DE ORO,ENTRY LEVEL,"Dec 14, 2021"
